Full_Date,US Producer Prices Electrical eq. LAG6,France Shipments Index M&E LAG9,UK Production Index Electrical eq. LAG6,Japan Production Index M&E LAG12,Japan Production Index Electrical eq. LAG12,Europe Shipments Index M&E LAG9,Price of Natural gas index LAG10,Germany Production Index M&E LAG9,Sales € LAG3,Switzerland Production Index M&E LAG7,Germany Shipments Index M&E LAG9,Sales €,Switzerland Production Index Machinery eq. LAG9,Sales € LAG6,Italy Shipments Index M&E LAG9,Price of Energy LAG10,China Producer Prices Electrical eq. LAG8
2019-04-01,110.4,127.1,110.3,153.9,141.5,136.5,76.5,126.94,27728148.0,103.2,148.0,39688292.0,100.94,36098920.0,127.0,94.6,97.06
2019-05-01,110.7,104.75,118.7,115.56,108.3,120.44,78.3,116.75,34793164.0,105.94,129.9,38897976.0,101.56,30742242.0,121.4,93.7,96.75
2019-06-01,111.0,92.8,120.44,115.4,107.06,112.3,77.5,114.7,33856804.0,109.06,130.0,39106752.0,102.2,37889612.0,74.44,93.0,96.56
2019-07-01,111.2,110.5,105.4,126.94,118.75,127.7,81.7,118.56,39688292.0,112.25,136.6,37912572.0,102.8,27728148.0,115.3,92.0,96.3
2019-08-01,111.4,122.44,107.2,123.2,116.5,131.0,89.2,124.25,38897976.0,115.4,137.8,38042676.0,106.8,34793164.0,122.44,98.75,95.4
2019-09-01,111.56,115.94,110.6,115.2,103.0,132.9,89.56,127.4,39106752.0,109.6,142.8,40602780.0,110.8,33856804.0,120.1,100.25,95.0
2019-10-01,111.94,115.1,126.2,127.8,114.5,131.2,97.4,120.5,37912572.0,103.8,141.4,39012300.0,114.75,39688292.0,131.9,84.44,94.94
2019-11-01,111.4,108.3,113.5,125.2,112.4,113.06,94.44,104.75,38042676.0,98.06,118.7,37323904.0,109.2,38897976.0,92.44,74.9,94.7
2019-12-01,111.6,108.94,117.56,122.6,111.94,117.7,80.06,109.6,40602780.0,97.06,122.7,37701508.0,103.6,39106752.0,103.2,76.2,94.44
2020-01-01,110.56,126.94,123.1,123.0,112.5,135.9,69.56,122.56,39012300.0,96.1,140.1,34116652.0,98.06,37912572.0,122.44,80.06,93.9
2020-02-01,110.8,114.94,123.94,105.5,95.94,121.94,67.94,110.6,37323904.0,95.2,127.5,33505880.0,98.0,38042676.0,106.25,82.25,94.5
2020-03-01,110.6,110.8,115.2,114.44,107.3,127.7,62.5,115.7,37701508.0,97.94,132.0,39064432.0,97.94,40602780.0,123.25,86.44,94.9
2020-04-01,111.06,122.06,128.5,141.6,131.5,126.6,59.44,108.94,34116652.0,100.7,126.75,37981532.0,97.9,39012300.0,121.3,85.2,95.1
2020-05-01,111.06,107.25,128.2,107.1,101.3,124.0,52.97,117.1,33505880.0,103.44,132.6,31400212.0,98.1,37323904.0,123.56,76.3,94.6
2020-06-01,111.06,89.2,125.6,108.94,101.9,107.7,52.72,104.4,39064432.0,104.2,121.1,30896804.0,98.4,37701508.0,71.75,77.06,94.6
2020-07-01,111.3,115.2,117.25,117.75,112.25,131.5,51.84,117.94,37981532.0,104.94,138.4,35212732.0,98.6,34116652.0,115.6,71.56,94.2
2020-08-01,111.5,120.94,116.4,118.9,114.8,129.6,58.2,114.75,31400212.0,105.7,128.9,37482084.0,99.0,33505880.0,123.4,75.56,93.0
2020-09-01,111.56,110.25,114.1,100.94,91.7,128.6,59.12,116.9,30896804.0,100.25,135.2,38879360.0,99.44,39064432.0,118.3,72.7,92.7
2020-10-01,111.44,119.06,127.6,128.2,114.94,133.4,63.47,113.8,35212732.0,94.75,135.9,41453856.0,99.8,37981532.0,135.8,76.6,92.7
2020-11-01,111.44,103.6,77.94,107.7,101.4,107.94,56.0,97.8,37482084.0,89.3,110.7,37643612.0,94.44,31400212.0,89.1,79.06,92.56
2020-12-01,111.44,105.75,85.5,104.25,100.9,113.6,48.62,103.0,38879360.0,85.5,117.4,34816960.0,89.0,30896804.0,100.44,76.06,91.9
2021-01-01,111.4,95.3,108.9,119.75,107.9,120.2,43.78,112.9,41453856.0,81.6,132.0,27180432.0,83.56,35212732.0,88.75,66.3,90.3
2021-02-01,111.8,64.44,112.94,103.5,95.06,83.75,41.62,81.06,37643612.0,77.8,93.3,34630524.0,81.7,37482084.0,55.12,42.66,91.06
