Full_Date,Europe Shipments Index M&E LAG12,UK Production Index M&E LAG9,Switzerland Production Index Machinery eq. LAG7,Switzerland Production Index Electrical eq. LAG7,Germany Shipments Index M&E LAG9,Japan Production Index M&E LAG9,COVID_Impact,Price of Energy LAG10,China Production Index M&E LAG5,France Production Index Electrical eq. LAG12,US Producer Prices Electrical eq. LAG8,Japan Production Index Electrical eq. LAG9,Switzerland Production Index M&E LAG7,Sales € LAG6,Italy Production Index Electrical eq. LAG1,China Producer Prices Electrical eq. LAG11,Germany Production Index M&E LAG9,Sales €,Europe Production Index M&E LAG9,France Producer Prices Electrical eq. LAG7,Sales € LAG3,Sales € LAG2
2019-04-01,132.2,111.1,102.2,104.8,148.0,126.94,0,94.6,212.0,94.7,110.0,118.75,103.2,28686.330078125,83.44,95.56,126.94,21813.26953125,124.1,102.5,21484.0,34214.73828125
2019-05-01,116.94,106.06,102.8,111.2,129.9,123.2,0,93.7,220.5,83.94,110.1,116.5,105.94,1070.0,88.8,96.6,116.75,24468.0,114.06,102.2,34214.73828125,10118.0
2019-06-01,122.1,103.7,106.8,113.0,130.0,115.2,0,93.0,241.9,81.8,110.4,103.0,109.06,17880.599609375,75.94,97.0,114.7,44255.6796875,100.7,102.06,10118.0,21813.26953125
2019-07-01,136.5,108.3,110.8,114.75,136.6,127.8,0,92.0,175.6,95.1,110.7,114.5,112.25,21484.0,91.6,97.06,118.56,21318.48046875,117.0,102.06,21813.26953125,24468.0
2019-08-01,120.44,113.7,114.75,116.5,137.8,125.2,0,98.75,175.6,86.4,111.0,112.4,115.4,34214.73828125,83.5,96.75,124.25,19217.0,124.4,102.2,24468.0,44255.6796875
2019-09-01,112.3,115.06,109.2,110.4,142.8,122.6,0,100.25,261.8,64.3,111.2,111.94,109.6,10118.0,92.94,96.56,127.4,292490.40625,123.06,102.75,44255.6796875,21318.48046875
2019-10-01,127.7,101.56,103.6,104.2,141.4,123.0,0,84.44,219.6,85.06,111.4,112.5,103.8,21813.26953125,43.97,96.3,120.5,140819.6875,113.9,102.7,21318.48046875,19217.0
2019-11-01,131.0,101.8,98.06,98.06,118.7,105.5,0,74.9,234.1,97.9,111.56,95.94,98.06,24468.0,87.7,95.4,104.75,320942.28125,106.44,102.9,19217.0,292490.40625
2019-12-01,132.9,103.5,98.0,95.56,122.7,114.44,0,76.2,261.2,91.1,111.94,107.3,97.06,44255.6796875,91.6,95.0,109.6,349515.28125,110.44,103.2,292490.40625,140819.6875
2020-01-01,131.2,120.75,97.94,93.0,140.1,141.6,0,80.06,217.0,78.06,111.4,131.5,96.1,21318.48046875,81.5,94.94,122.56,213315.3125,123.7,102.75,140819.6875,320942.28125
2020-02-01,113.06,106.7,97.9,90.5,127.5,107.1,0,82.25,207.9,81.94,111.6,101.3,95.2,19217.0,63.97,94.7,110.6,324443.34375,111.94,102.5,320942.28125,349515.28125
2020-03-01,117.7,109.75,98.1,97.56,132.0,108.94,0,86.44,215.9,80.3,110.56,101.9,97.94,292490.40625,78.5,94.44,115.7,185833.890625,117.9,102.5,349515.28125,213315.3125
2020-04-01,135.9,111.56,98.4,104.6,126.75,117.75,1,85.2,226.6,92.5,110.8,112.25,100.7,140819.6875,79.94,93.9,108.94,79632.0,114.3,102.56,213315.3125,324443.34375
2020-05-01,121.94,110.6,98.6,111.7,132.6,118.9,1,76.3,241.0,85.5,110.6,114.8,103.44,320942.28125,58.12,94.5,117.1,153949.234375,116.3,102.75,324443.34375,185833.890625
2020-06-01,127.7,100.1,99.0,113.06,121.1,100.94,1,77.06,263.0,84.0,111.06,91.7,104.2,349515.28125,38.97,94.9,104.4,172712.875,95.8,102.7,185833.890625,79632.0
2020-07-01,126.6,112.2,99.44,114.4,138.4,128.2,1,71.56,130.5,87.44,111.06,114.94,104.94,213315.3125,67.44,95.1,117.94,110275.203125,119.9,102.7,79632.0,153949.234375
2020-08-01,124.0,113.3,99.8,115.75,128.9,107.7,1,75.56,130.5,89.75,111.06,101.4,105.7,324443.34375,75.25,94.6,114.75,164108.203125,121.9,102.7,153949.234375,172712.875
2020-09-01,107.7,109.4,94.44,110.25,135.2,104.25,1,72.7,255.2,63.16,111.3,100.9,100.25,185833.890625,85.06,94.6,116.9,168634.796875,117.9,102.75,172712.875,110275.203125
2020-10-01,131.5,101.9,89.0,104.7,135.9,119.75,1,76.6,241.1,88.25,111.5,107.9,94.75,79632.0,43.88,94.2,113.8,5395.0,112.25,103.0,110275.203125,164108.203125
2020-11-01,129.6,97.7,83.56,99.2,110.7,103.5,1,79.06,255.8,94.75,111.56,95.06,89.3,153949.234375,87.75,93.0,97.8,445648.0625,102.1,102.75,164108.203125,168634.796875
2020-12-01,128.6,98.2,81.7,92.0,117.4,104.6,1,76.06,283.2,82.44,111.44,98.9,85.5,172712.875,92.94,92.7,103.0,271024.1875,107.5,102.06,168634.796875,5395.0
2021-01-01,133.4,106.4,79.8,84.75,132.0,131.1,1,66.3,243.9,76.1,111.44,127.9,81.6,110275.203125,89.56,92.7,112.9,92754.0078125,108.44,102.2,5395.0,445648.0625
2021-02-01,107.94,61.06,77.94,77.56,93.3,95.1,1,42.66,233.1,78.6,111.44,89.5,77.8,164108.203125,70.94,92.56,81.06,287890.625,77.56,102.2,445648.0625,271024.1875
2021-03-01,113.6,69.2,80.5,84.56,98.6,82.0,1,31.62,244.1,79.44,111.4,78.56,82.0,168634.796875,80.94,91.9,85.4,282688.34375,88.94,102.5,271024.1875,92754.0078125
2021-04-01,120.2,92.06,83.0,91.56,121.94,102.56,1,39.25,258.5,68.94,111.8,97.7,86.1,5395.0,90.25,90.3,103.7,385267.15625,106.5,102.9,92754.0078125,287890.625
2021-05-01,83.75,93.56,85.56,98.56,117.56,98.94,1,48.53,274.5,44.84,112.2,98.7,90.3,445648.0625,102.2,91.06,100.56,379881.9375,104.3,103.0,287890.625,282688.34375
2021-06-01,95.9,86.25,86.3,102.9,102.2,83.1,1,51.66,296.2,59.62,112.5,79.8,92.4,271024.1875,91.6,91.75,87.6,326883.3125,86.0,103.06,282688.34375,385267.15625
2021-07-01,118.94,103.7,87.06,107.2,128.8,105.94,1,54.3,214.9,84.56,112.8,104.25,94.44,92754.0078125,94.3,92.25,109.0,363685.4375,113.5,103.06,385267.15625,379881.9375
2021-08-01,113.44,101.0,87.8,111.5,122.3,105.3,1,51.16,214.9,81.6,113.2,101.94,96.5,287890.625,95.56,92.4,106.75,143436.625,113.7,103.2,379881.9375,326883.3125
2021-09-01,95.0,106.2,86.75,106.4,129.4,107.9,1,51.62,309.5,58.22,113.56,100.9,93.94,282688.34375,93.75,92.25,112.25,423432.6875,115.6,103.6,326883.3125,363685.4375
2021-10-01,125.94,98.8,85.7,101.25,135.8,116.5,1,55.3,282.5,86.4,113.4,109.7,91.44,385267.15625,49.03,92.06,112.75,217388.4375,113.3,104.0,363685.4375,143436.625
2021-11-01,122.44,88.25,84.6,96.2,103.2,102.5,1,63.75,291.5,89.94,113.8,96.44,88.9,379881.9375,94.9,91.1,90.6,428753.9375,96.6,104.5,143436.625,423432.6875
2021-12-01,129.5,98.94,87.06,92.6,117.7,112.06,1,69.9,321.8,83.9,115.7,103.44,89.1,326883.3125,91.2,91.6,102.5,322647.8125,107.94,104.6,423432.6875,217388.4375
2022-01-01,136.8,125.2,89.5,89.1,147.2,143.4,1,80.4,264.0,75.75,117.25,134.6,89.4,363685.4375,89.0,92.0,123.56,147680.1875,129.6,104.8,217388.4375,428753.9375
2022-02-01,105.75,104.6,91.94,85.56,125.2,116.2,1,80.75,253.8,76.2,118.8,108.2,89.6,143436.625,72.94,92.25,108.0,312165.53125,114.1,105.56,428753.9375,322647.8125
2022-03-01,119.2,103.06,94.4,91.44,122.56,102.8,1,80.8,259.0,80.75,120.75,96.75,93.3,423432.6875,74.4,92.8,102.9,343523.40625,112.06,105.8,322647.8125,147680.1875
2022-04-01,147.1,116.75,96.75,97.3,139.0,128.9,1,86.3,269.8,94.5,121.9,119.94,96.94,217388.4375,91.2,92.94,115.56,178141.0,125.1,106.6,147680.1875,312165.53125
