Full_Date,Japan Production Index M&E LAG11,Sales € LAG2,Germany Production Index M&E LAG12,China Production Index M&E LAG1,France Shipments Index M&E LAG3,Switzerland Production Index Electrical eq. LAG11,Sales €,Global Production Index Machinery eq. LAG3,France Producer Prices Electrical eq. LAG9,Europe Shipments Index M&E LAG3,United States: EUR in LCU LAG7
2018-12-01,127.25,27666.099609375,130.9,212.0,92.8,117.56,15655.1796875,118.9,102.25,112.3,1.228
2019-01-01,112.44,68180.0,130.1,220.5,110.5,112.06,27198.2890625,128.5,102.4,127.7,1.182
2019-02-01,119.8,15655.1796875,106.6,241.9,122.44,106.56,32638.630859375,131.4,102.5,131.0,1.168
2019-03-01,153.9,27198.2890625,109.4,175.6,115.94,101.06,11890.0,130.0,102.25,132.9,1.169
2019-04-01,115.56,32638.630859375,125.94,175.6,115.1,98.06,7488.5400390625,124.2,102.56,131.2,1.155
2019-05-01,115.4,11890.0,113.44,261.8,108.3,95.1,2550.31005859375,112.2,102.5,113.06,1.166
2019-06-01,126.94,7488.5400390625,112.1,219.6,108.94,92.1,34849.2109375,116.6,102.5,117.7,1.148
2019-07-01,123.2,2550.31005859375,126.94,234.1,126.94,98.5,43008.3515625,137.5,102.2,135.9,1.137
2019-08-01,115.2,34849.2109375,116.75,261.2,114.94,104.8,22497.599609375,121.5,102.06,121.94,1.139
2019-09-01,127.8,43008.3515625,114.7,217.0,110.8,111.2,19601.05078125,124.6,102.06,127.7,1.142
2019-10-01,125.2,22497.599609375,118.56,207.9,122.06,113.0,65754.546875,127.0,102.2,126.6,1.135
2019-11-01,122.6,19601.05078125,124.25,215.9,107.25,114.75,43190.76171875,123.4,102.75,124.0,1.13
2019-12-01,123.0,65754.546875,127.4,226.6,89.2,116.5,26729.759765625,112.4,102.7,107.7,1.124
2020-01-01,105.5,43190.76171875,120.5,241.0,115.2,110.4,19519.58984375,128.8,102.9,131.5,1.118
2020-02-01,114.44,26729.759765625,104.75,263.0,120.94,104.2,13747.169921875,125.0,103.2,129.6,1.129
2020-03-01,141.6,19519.58984375,109.6,130.5,110.25,98.06,23513.58984375,122.6,102.75,128.6,1.122
2020-04-01,107.1,13747.169921875,122.56,130.5,119.06,95.56,30716.109375,123.06,102.5,133.4,1.112
2020-05-01,108.94,23513.58984375,110.6,255.2,103.6,93.0,3762.820068359375,104.5,102.5,107.94,1.101
2020-06-01,117.75,30716.109375,115.7,241.1,105.75,90.5,9612.7998046875,108.7,102.56,113.6,1.105
2020-07-01,118.9,3762.820068359375,108.94,255.8,95.3,97.56,6745.2001953125,125.3,102.75,120.2,1.105
2020-08-01,100.94,9612.7998046875,117.1,283.2,64.44,104.6,25689.640625,98.7,102.7,83.75,1.111
2020-09-01,128.2,6745.2001953125,104.4,243.9,77.94,111.7,15314.8603515625,101.8,102.7,95.9,1.11
2020-10-01,107.7,25689.640625,117.94,233.1,119.5,113.06,9524.8798828125,118.5,102.7,118.94,1.091
2020-11-01,104.25,15314.8603515625,114.75,244.1,98.1,114.4,20663.640625,114.0,102.75,113.44,1.106
2020-12-01,119.75,9524.8798828125,116.9,258.5,83.0,115.75,31216.7109375,104.3,103.0,95.0,1.086
2021-01-01,103.5,20663.640625,113.8,274.5,111.7,110.25,10118.3603515625,121.56,102.75,125.94,1.09
2021-02-01,104.6,31216.7109375,97.8,296.2,113.3,104.7,16729.80078125,122.06,102.06,122.44,1.126
2021-03-01,131.1,10118.3603515625,103.0,214.9,116.6,99.2,63092.75,123.75,102.2,129.5,1.146
2021-04-01,95.1,16729.80078125,112.9,214.9,120.06,92.0,38125.19921875,123.6,102.2,136.8,1.183
2021-05-01,82.0,63092.75,81.06,309.5,97.8,84.75,4130.0,109.44,102.5,105.75,1.18
2021-06-01,102.56,38125.19921875,85.4,282.5,107.9,77.56,6015.0400390625,116.4,102.9,119.2,1.178
2021-07-01,98.94,4130.0,103.7,291.5,129.2,84.56,8419.830078125,143.0,103.0,147.1,1.184
2021-08-01,83.1,6015.0400390625,100.56,321.8,115.2,91.56,10814.5703125,129.6,103.06,127.2,1.217
2021-09-01,105.94,8419.830078125,87.6,264.0,103.0,98.56,28682.58984375,125.1,103.06,126.5,1.217
2021-10-01,105.3,10814.5703125,109.0,253.8,135.6,102.9,30506.150390625,139.2,103.2,144.4,1.21
2021-11-01,107.9,28682.58984375,106.75,259.0,101.0,107.2,8136.919921875,129.4,103.6,128.9,1.189
2021-12-01,116.5,30506.150390625,112.25,269.8,90.6,111.5,24868.859375,119.9,104.0,110.7,1.198
2022-01-01,102.5,8136.919921875,112.75,291.5,118.2,106.4,37972.80859375,135.6,104.5,142.8,1.215
2022-02-01,112.06,24868.859375,90.6,310.8,116.9,101.25,33449.25,130.4,104.6,132.0,1.205
2022-03-01,143.4,37972.80859375,102.5,236.0,116.4,96.2,12149.400390625,135.0,104.8,143.0,1.183
2022-04-01,116.2,33449.25,123.56,236.0,134.6,92.6,17020.0390625,134.6,105.56,150.0,1.177
