Full_Date,Global Production Index Electrical eq. LAG7,UK Production Index Electrical eq. LAG1,France Production Index M&E LAG7,Europe Production Index M&E LAG7,US Production Index M&E LAG8,Germany Production Index Electrical eq. LAG3,Sales €,Italy Shipments Index M&E LAG11,Italy Production Index Electrical eq. LAG7,France Producer Prices Electrical eq. LAG12,Italy Production Index M&E LAG11,Sales € LAG2,France Production Index Electrical eq. LAG7
2018-12-01,117.7,118.7,92.25,110.6,109.06,111.3,0.0,131.6,76.75,101.4,88.94,5770.0,83.94
2019-01-01,119.0,120.44,88.5,114.3,111.6,110.9,1686.4000244140625,86.44,89.8,101.4,96.2,17130.0,81.8
2019-02-01,126.3,105.4,109.75,124.1,110.0,118.3,19196.30078125,100.5,89.44,102.25,103.25,0.0,95.1
2019-03-01,121.94,107.2,100.8,114.06,112.7,117.2,7535.25,120.25,90.8,102.25,116.1,1686.4000244140625,86.4
2019-04-01,117.5,110.6,68.25,100.7,106.56,89.6,0.0,102.9,46.9,102.4,101.25,19196.30078125,64.3
2019-05-01,126.4,126.2,97.6,117.0,110.8,105.4,17771.400390625,120.6,85.2,102.5,118.25,7535.25,85.06
2019-06-01,129.4,113.5,108.25,124.4,111.0,103.6,63017.7109375,127.0,93.0,102.25,115.25,0.0,97.9
2019-07-01,128.2,117.56,99.6,123.06,111.9,111.4,20719.30078125,121.4,84.1,102.56,116.5,17771.400390625,91.1
2019-08-01,117.06,123.1,94.7,113.9,110.9,102.5,1602.0,74.44,64.9,102.5,60.75,63017.7109375,78.06
2019-09-01,111.5,123.94,90.1,106.44,106.25,107.5,12851.2001953125,115.3,81.56,102.5,105.44,20719.30078125,81.94
2019-10-01,112.7,115.2,92.56,110.44,107.5,95.8,1378.550048828125,122.44,83.44,102.2,118.4,1602.0,80.3
2019-11-01,131.5,128.5,107.9,123.7,109.8,107.7,2571.300048828125,120.1,88.8,102.06,107.75,12851.2001953125,92.5
2019-12-01,119.44,128.2,98.7,111.94,111.7,98.7,0.0,131.9,75.94,102.06,88.8,1378.550048828125,85.5
2020-01-01,122.8,125.6,94.75,117.9,109.25,107.56,2955.219970703125,92.44,91.6,102.2,99.25,2571.300048828125,84.0
2020-02-01,125.2,117.25,99.0,114.3,110.06,109.1,10900.0,103.2,83.5,102.75,104.56,0.0,87.44
2020-03-01,125.6,116.4,100.4,116.3,111.7,106.3,10325.150390625,122.44,92.94,102.7,114.3,2955.219970703125,89.75
2020-04-01,116.7,114.1,65.5,95.8,103.44,82.8,-2851.449951171875,106.25,43.97,102.9,99.75,10900.0,63.16
2020-05-01,131.0,127.6,100.9,119.9,107.75,99.8,32670.0,123.25,87.7,103.2,118.0,10325.150390625,88.25
2020-06-01,129.2,77.94,101.44,121.9,105.3,101.2,8756.4501953125,121.3,91.6,102.75,108.25,-2851.449951171875,94.75
2020-07-01,127.94,85.5,94.56,117.9,105.3,105.0,14793.0,123.56,81.5,102.5,114.7,32670.0,82.44
2020-08-01,119.1,108.9,93.2,112.25,104.4,81.06,6919.39990234375,71.75,63.97,102.5,56.25,8756.4501953125,76.1
2020-09-01,105.1,112.94,86.0,102.1,102.0,82.8,2219.800048828125,115.6,78.5,102.56,107.75,14793.0,78.6
2020-10-01,106.8,112.3,90.1,107.5,104.2,90.94,13799.0,123.4,79.94,102.75,114.4,6919.39990234375,79.44
2020-11-01,125.8,130.5,77.9,108.44,108.2,96.6,1750.0,118.3,58.12,102.7,102.94,2219.800048828125,68.94
2020-12-01,103.5,123.94,50.75,77.56,107.0,88.0,11772.4501953125,135.8,38.97,102.7,85.9,13799.0,44.84
2021-01-01,105.8,129.8,66.06,88.94,90.56,104.7,3028.0,89.1,67.44,102.7,94.7,1750.0,59.62
2021-02-01,120.6,110.9,93.6,106.5,93.75,107.06,2966.820068359375,100.44,75.25,102.75,101.8,11772.4501953125,84.56
2021-03-01,122.25,106.8,90.9,104.3,99.3,108.06,15818.7802734375,88.75,85.06,103.0,72.0,3028.0,81.6
2021-04-01,114.56,121.9,59.3,86.0,96.2,91.25,5629.0,55.12,43.88,102.75,50.62,2966.820068359375,58.22
2021-05-01,134.0,140.8,95.0,113.5,101.4,93.3,2183.85009765625,89.25,87.75,102.06,87.06,15818.7802734375,86.4
2021-06-01,134.6,119.25,99.75,113.7,100.56,103.44,8266.900390625,106.6,92.94,102.2,96.5,5629.0,89.94
2021-07-01,135.4,117.25,94.0,115.6,105.4,119.9,76161.4375,119.44,89.56,102.2,106.1,2183.85009765625,83.9
2021-08-01,126.44,129.9,94.06,113.3,102.8,105.5,0.0,70.06,70.94,102.5,53.78,8266.900390625,75.75
2021-09-01,116.3,122.75,84.1,96.6,100.7,100.7,-561.25,115.1,80.94,102.9,101.56,76161.4375,76.2
2021-10-01,120.06,116.4,88.8,107.94,107.06,112.5,16534.19921875,118.9,90.25,103.0,107.44,0.0,80.75
2021-11-01,145.6,130.5,109.44,129.6,107.7,107.75,5951.85009765625,120.1,102.2,103.06,103.44,-561.25,94.5
2021-12-01,133.6,117.8,93.5,114.1,112.2,103.44,17427.599609375,132.2,91.6,103.06,88.3,16534.19921875,83.06
2022-01-01,128.5,127.06,86.44,112.06,112.56,111.7,2820.0,92.9,94.3,103.2,89.6,5951.85009765625,75.8
2022-02-01,141.0,121.06,107.25,125.1,112.2,106.25,4410.0,107.8,95.56,103.6,103.7,17427.599609375,94.06
2022-03-01,134.2,112.3,95.3,116.2,112.8,110.06,46100.23828125,134.2,93.75,104.0,117.8,2820.0,82.0
2022-04-01,125.75,115.56,63.84,98.25,107.94,97.75,1846.199951171875,116.75,49.03,104.5,109.5,4410.0,61.38
