Full_Date,Switzerland Production Index M&E LAG9,Price of Energy LAG11,US Production Index M&E LAG4,Germany Production Index Electrical eq. LAG11,Sales €,Switzerland Production Index Machinery eq. LAG10,Japan Production Index Electrical eq. LAG5,Italy Production Index M&E LAG7,France Producer Prices Electrical eq. LAG10,France Production Index Electrical eq. LAG1,Europe Shipments Index M&E LAG3,China Producer Prices Electrical eq. LAG12,US Producer Prices Electrical eq. LAG11,Global Production Index Electrical eq. LAG6
2018-10-01,112.3,73.25,110.0,106.94,333196.875,106.0,108.3,103.25,101.4,64.3,136.5,97.25,105.6,128.1
2018-11-01,107.8,78.94,112.7,121.5,1377694.375,109.3,107.06,116.1,101.4,85.06,120.44,97.4,106.0,117.7
2018-12-01,103.3,80.8,106.56,98.6,4762524.5,105.4,118.75,101.25,102.25,97.9,112.3,96.6,106.1,119.0
2019-01-01,98.8,87.44,110.8,110.4,942957.1875,101.44,116.5,118.25,102.25,91.1,127.7,96.44,106.44,126.3
2019-02-01,98.44,82.1,111.0,107.25,257765.046875,97.5,103.0,115.25,102.4,78.06,131.0,96.7,106.75,121.94
2019-03-01,98.06,82.8,111.9,117.06,2258352.25,98.6,114.5,116.5,102.5,81.94,132.9,96.6,107.56,117.5
2019-04-01,97.7,88.4,110.9,108.7,224501.90625,99.8,112.4,60.75,102.25,80.3,131.2,96.2,108.0,126.4
2019-05-01,100.44,94.6,106.25,106.75,353451.53125,100.94,111.94,105.44,102.56,92.5,113.06,95.56,108.56,129.4
2019-06-01,103.2,93.7,107.5,116.75,367425.375,101.56,112.5,118.4,102.5,85.5,117.7,96.6,108.75,128.2
2019-07-01,105.94,93.0,109.8,111.2,266225.875,102.2,95.94,107.75,102.5,84.0,135.9,97.0,110.0,117.06
2019-08-01,109.06,92.0,111.7,111.3,725678.3125,102.8,107.3,88.8,102.2,87.44,121.94,97.06,110.1,111.5
2019-09-01,112.25,98.75,109.25,110.9,752884.1875,106.8,131.5,99.25,102.06,89.75,127.7,96.75,110.4,112.7
2019-10-01,115.4,100.25,110.06,118.3,285644.65625,110.8,101.3,104.56,102.06,63.16,126.6,96.56,110.7,131.5
2019-11-01,109.6,84.44,111.7,117.2,291844.03125,114.75,101.9,114.3,102.2,88.25,124.0,96.3,111.0,119.44
2019-12-01,103.8,74.9,103.44,89.6,66419.15625,109.2,112.25,99.75,102.75,94.75,107.7,95.4,111.2,122.8
2020-01-01,98.06,76.2,107.75,105.4,384800.46875,103.6,114.8,118.0,102.7,82.44,131.5,95.0,111.4,125.2
