Full_Date,Switzerland Production Index Electrical eq. LAG1,US Production Index M&E LAG2,Germany Production Index M&E LAG1,Europe Shipments Index M&E LAG1,France Production Index Electrical eq. LAG2,Price of Natural gas index LAG12,Germany Shipments Index M&E LAG1,Japan Production Index M&E LAG1,France Shipments Index M&E LAG7,Sales € LAG4,UK Production Index Electrical eq. LAG3,Sales €,Europe Production Index M&E LAG1,United States: EUR in LCU LAG1,US Producer Prices Electrical eq. LAG11
2019-02-01,116.5,110.9,120.5,131.2,91.1,84.8,141.4,123.0,127.1,4563.14013671875,118.7,620.6599731445312,113.9,1.139,106.75
2019-03-01,110.4,106.25,104.75,113.06,78.06,71.0,118.7,105.5,104.75,5798.14013671875,120.44,3369.550048828125,106.44,1.142,107.56
2019-04-01,104.2,107.5,109.6,117.7,81.94,71.44,122.7,114.44,92.8,918.6500244140625,105.4,3619.6298828125,110.44,1.135,108.0
2019-05-01,98.06,109.8,122.56,135.9,80.3,73.5,140.1,141.6,110.5,2398.0400390625,107.2,938.9000244140625,123.7,1.13,108.56
2019-06-01,95.56,111.7,110.6,121.94,92.5,76.5,127.5,107.1,122.44,620.6599731445312,110.6,772.9400024414062,111.94,1.124,108.75
2019-07-01,93.0,109.25,115.7,127.7,85.5,78.3,132.0,108.94,115.94,3369.550048828125,126.2,577.5999755859375,117.9,1.118,110.0
2019-08-01,90.5,110.06,108.94,126.6,84.0,77.5,126.75,117.75,115.1,3619.6298828125,113.5,284.3999938964844,114.3,1.129,110.1
2019-09-01,97.56,111.7,117.1,124.0,87.44,81.7,132.6,118.9,108.3,938.9000244140625,117.56,664.5700073242188,116.3,1.122,110.4
2019-10-01,104.6,103.44,104.4,107.7,89.75,89.2,121.1,100.94,108.94,772.9400024414062,123.1,1566.0,95.8,1.112,110.7
2019-11-01,111.7,107.75,117.94,131.5,63.16,89.56,138.4,128.2,126.94,577.5999755859375,123.94,149.0,119.9,1.101,111.0
2019-12-01,113.06,105.3,114.75,129.6,88.25,97.4,128.9,107.7,114.94,284.3999938964844,115.2,0.0,121.9,1.105,111.2
2020-01-01,114.4,105.3,116.9,128.6,94.75,94.44,135.2,104.25,110.8,664.5700073242188,128.5,274.9100036621094,117.9,1.105,111.4
2020-02-01,115.75,104.4,113.8,133.4,82.44,80.06,135.9,119.75,122.06,1566.0,128.2,0.0,112.25,1.111,111.56
2020-03-01,110.25,102.0,97.8,107.94,76.1,69.56,110.7,103.5,107.25,149.0,125.6,555.0,102.1,1.11,111.94
2020-04-01,104.7,104.2,103.0,113.6,78.6,67.94,117.4,104.6,89.2,0.0,117.25,224.0,107.5,1.091,111.4
2020-05-01,99.2,108.2,112.9,120.2,79.44,62.5,132.0,131.1,115.2,274.9100036621094,116.4,390.0,108.44,1.106,111.6
2020-06-01,92.0,107.0,81.06,83.75,68.94,59.44,93.3,95.1,120.94,0.0,114.1,983.0999755859375,77.56,1.086,110.56
2020-07-01,84.75,90.56,85.4,95.9,44.84,52.97,98.6,82.0,110.25,555.0,127.6,826.97998046875,88.94,1.09,110.8
2020-08-01,77.56,93.75,103.7,118.94,59.62,52.72,121.94,102.56,119.06,224.0,77.94,2688.0,106.5,1.126,110.6
2020-09-01,84.56,99.3,100.56,113.44,84.56,51.84,117.56,98.94,103.6,390.0,85.5,2047.699951171875,104.3,1.146,111.06
2020-10-01,91.56,96.2,87.6,95.0,81.6,58.2,102.2,83.1,105.75,983.0999755859375,108.9,7355.75,86.0,1.183,111.06
2020-11-01,98.56,101.4,109.0,125.94,58.22,59.12,128.8,105.94,95.3,826.97998046875,112.94,2979.5400390625,113.5,1.18,111.06
2020-12-01,102.9,100.56,106.75,122.44,86.4,63.47,122.3,105.3,64.44,2688.0,112.3,8485.599609375,113.7,1.178,111.3
2021-01-01,107.2,105.4,112.25,129.5,89.94,56.0,129.4,107.9,77.94,2047.699951171875,130.5,0.0,115.6,1.184,111.5
2021-02-01,111.5,102.8,112.75,136.8,83.9,48.62,135.8,116.5,119.5,7355.75,123.94,1387.0,113.3,1.217,111.56
2021-03-01,106.4,100.7,90.6,105.75,75.75,43.78,103.2,102.5,98.1,2979.5400390625,129.8,1076.5999755859375,96.6,1.217,111.44
2021-04-01,101.25,107.06,102.5,119.2,76.2,41.62,117.7,112.06,83.0,8485.599609375,110.9,8414.0,107.94,1.21,111.44
2021-05-01,96.2,107.7,123.56,147.1,80.75,37.97,147.2,143.4,111.7,0.0,106.8,419.2099914550781,129.6,1.189,111.44
2021-06-01,92.6,112.2,108.0,127.2,94.5,35.6,125.2,116.2,113.3,1387.0,121.9,1766.5999755859375,114.1,1.198,111.4
2021-07-01,89.1,112.56,102.9,126.5,83.06,34.0,122.56,102.8,116.6,1076.5999755859375,140.8,842.9299926757812,112.06,1.215,111.8
2021-08-01,85.56,112.2,115.56,144.4,75.8,34.9,139.0,128.9,120.06,8414.0,119.25,377.2200012207031,125.1,1.205,112.2
2021-09-01,91.44,112.8,110.7,128.9,94.06,45.84,130.9,119.56,97.8,419.2099914550781,117.25,0.0,116.2,1.183,112.5
2021-10-01,97.3,107.94,100.9,110.7,82.0,46.06,119.06,103.2,107.9,1766.5999755859375,129.9,151.49000549316406,98.25,1.177,112.8
2021-11-01,103.2,110.1,115.06,142.8,61.38,54.72,142.4,123.25,129.2,842.9299926757812,122.75,928.7999877929688,124.94,1.177,113.2
2021-12-01,106.9,109.2,108.44,132.0,89.56,59.06,129.5,114.0,115.2,377.2200012207031,116.4,156.0,117.3,1.16,113.56
2022-01-01,110.6,111.56,115.94,143.0,88.75,63.84,141.8,121.8,103.0,0.0,130.5,0.0,124.0,1.142,113.4
2022-02-01,114.3,109.6,118.1,150.0,88.3,73.0,149.4,127.75,135.6,151.49000549316406,117.8,589.5,123.06,1.131,113.8
2022-03-01,109.0,107.06,94.56,120.3,80.75,97.5,120.4,110.44,101.0,928.7999877929688,127.06,2885.080078125,103.2,1.132,115.7
2022-04-01,103.7,111.06,104.0,131.5,77.94,65.6,129.4,117.9,90.6,156.0,121.06,6280.6298828125,113.5,1.134,117.25
