Full_Date,Italy Production Index M&E LAG3,UK Production Index M&E LAG12,United States: EUR in LCU LAG5,Germany Production Index Electrical eq. LAG8,Global Production Index Electrical eq. LAG11,China Production Index M&E LAG2,Japan Production Index Electrical eq. LAG9,US Producer Prices Electrical eq. LAG5,Italy Production Index Electrical eq. LAG3,Sales €,US Shipments Index M&E LAG2,France Production Index M&E LAG12,Japan Production Index M&E LAG9,France Producer Prices Electrical eq. LAG5,UK Production Index Electrical eq. LAG7,China Producer Prices Electrical eq. LAG10
2018-10-01,115.25,112.1,1.228,110.4,122.75,207.9,116.4,108.0,89.44,8089466.0,117.75,103.6,127.25,102.5,99.6,96.6
2018-11-01,116.5,108.8,1.182,107.25,125.94,197.5,103.6,108.56,90.8,11863002.0,128.2,107.7,112.44,102.25,109.2,96.44
2018-12-01,60.75,114.2,1.168,117.06,114.94,199.4,111.8,108.75,46.9,8736859.0,126.0,101.06,119.8,102.56,99.4,96.7
2019-01-01,105.44,102.0,1.169,108.7,110.44,212.0,141.5,110.0,85.2,10705301.0,127.8,101.4,153.9,102.5,102.5,96.6
2019-02-01,118.4,104.06,1.155,106.75,110.56,220.5,108.3,110.1,93.0,10167797.0,117.7,91.0,115.56,102.5,105.1,96.2
2019-03-01,107.75,101.06,1.166,116.75,128.1,241.9,107.06,110.4,84.1,11040545.0,123.25,91.6,115.4,102.2,103.44,95.56
2019-04-01,88.8,119.94,1.148,111.2,117.7,175.6,118.75,110.7,64.9,12317480.0,111.06,111.94,126.94,102.06,105.75,96.6
2019-05-01,99.25,106.06,1.137,111.3,119.0,175.6,116.5,111.0,81.56,12798945.0,116.75,92.25,123.2,102.06,110.3,97.0
2019-06-01,104.56,107.2,1.139,110.9,126.3,261.8,103.0,111.2,83.44,11546452.0,133.2,88.5,115.2,102.2,118.7,97.06
2019-07-01,114.3,111.1,1.142,118.3,121.94,219.6,114.5,111.4,88.8,13421551.0,125.2,109.75,127.8,102.75,120.44,96.75
2019-08-01,99.75,106.06,1.135,117.2,117.5,234.1,112.4,111.56,75.94,11359418.0,129.9,100.8,125.2,102.7,105.4,96.56
2019-09-01,118.0,103.7,1.13,89.6,126.4,261.2,111.94,111.94,91.6,16579668.0,133.8,68.25,122.6,102.9,107.2,96.3
2019-10-01,108.25,108.3,1.124,105.4,129.4,217.0,112.5,111.4,83.5,11382774.0,119.56,97.6,123.0,103.2,110.6,95.4
2019-11-01,114.7,113.7,1.118,103.6,128.2,207.9,95.94,111.6,92.94,13826060.0,128.0,108.25,105.5,102.75,126.2,95.0
2019-12-01,56.25,115.06,1.129,111.4,117.06,215.9,107.3,110.56,43.97,11077604.0,127.2,99.6,114.44,102.5,113.5,94.94
2020-01-01,107.75,101.56,1.122,102.5,111.5,226.6,131.5,110.8,87.7,11699896.0,126.2,94.7,141.6,102.5,117.56,94.7
2020-02-01,114.4,101.8,1.112,107.5,112.7,241.0,101.3,110.6,91.6,10041617.0,114.9,90.1,107.1,102.56,123.1,94.44
2020-03-01,102.94,103.5,1.101,95.8,131.5,263.0,101.9,111.06,81.5,12281515.0,124.4,92.56,108.94,102.75,123.94,93.9
2020-04-01,85.9,120.75,1.105,107.7,119.44,130.5,112.25,111.06,63.97,12008067.0,110.25,107.9,117.75,102.7,115.2,94.5
2020-05-01,94.7,106.7,1.105,98.7,122.8,130.5,114.8,111.06,78.5,10708632.0,116.9,98.7,118.9,102.7,128.5,94.9
