Full_Date,UK Production Index M&E LAG3,France Production Index M&E LAG3,US Production Index Electrical eq. LAG11,Italy Production Index M&E LAG1,Germany Production Index Electrical eq. LAG11,US Shipments Index M&E LAG4,Sales €,Japan Production Index Electrical eq. LAG3,Europe Shipments Index M&E LAG5,Italy Shipments Index M&E LAG8,Price of Energy LAG5
2018-10-01,111.1,109.75,110.0,60.75,106.94,126.25,6474.60009765625,118.75,116.94,86.44,88.4
2018-11-01,106.06,100.8,109.6,105.44,121.5,133.8,21617.609375,116.5,122.1,100.5,94.6
2018-12-01,103.7,68.25,105.75,118.4,98.6,117.75,13924.51953125,103.0,136.5,120.25,93.7
2019-01-01,108.3,97.6,106.8,107.75,110.4,128.2,15444.3896484375,114.5,120.44,102.9,93.0
2019-02-01,113.7,108.25,107.94,88.8,107.25,126.0,8051.14990234375,112.4,112.3,120.6,92.0
2019-03-01,115.06,99.6,107.3,99.25,117.06,127.8,7373.419921875,111.94,127.7,127.0,98.75
2019-04-01,101.56,94.7,108.8,104.56,108.7,117.7,4280.25,112.5,131.0,121.4,100.25
2019-05-01,101.8,90.1,108.5,114.3,106.75,123.25,16905.3203125,95.94,132.9,74.44,84.44
2019-06-01,103.5,92.56,109.75,99.75,116.75,111.06,15516.2197265625,107.3,131.2,115.3,74.9
2019-07-01,120.75,107.9,107.9,118.0,111.2,116.75,33334.41015625,131.5,113.06,122.44,76.2
2019-08-01,106.7,98.7,110.3,108.25,111.3,133.2,1306.0,101.3,117.7,120.1,80.06
2019-09-01,109.75,94.75,111.2,114.7,110.9,125.2,16582.55078125,101.9,135.9,131.9,82.25
2019-10-01,111.56,99.0,112.9,56.25,118.3,129.9,1556.5,112.25,121.94,92.44,86.44
2019-11-01,110.6,100.4,113.1,107.75,117.2,133.8,14921.7197265625,114.8,127.7,103.2,85.2
2019-12-01,100.1,65.5,111.8,114.4,89.6,119.56,5906.3701171875,91.7,126.6,122.44,76.3
2020-01-01,112.2,100.9,109.5,102.94,105.4,128.0,11840.669921875,114.94,124.0,106.25,77.06
2020-02-01,113.3,101.44,110.8,85.9,103.6,127.2,11813.400390625,101.4,107.7,123.25,71.56
2020-03-01,109.4,94.56,111.06,94.7,111.4,126.2,28300.8203125,100.9,131.5,121.3,75.56
2020-04-01,101.9,93.2,109.5,101.8,102.5,114.9,27121.599609375,107.9,129.6,123.56,72.7
2020-05-01,97.7,86.0,111.8,72.0,107.5,124.4,9649.2998046875,95.06,128.6,71.75,76.6
2020-06-01,98.2,90.1,112.2,50.62,95.8,110.25,146778.15625,98.9,133.4,115.6,79.06
2020-07-01,106.4,77.9,109.56,87.06,107.7,116.9,3849.60009765625,127.9,107.94,123.4,76.06
2020-08-01,61.06,50.75,111.1,96.5,98.7,131.2,12377.76953125,89.5,113.6,118.3,66.3
2020-09-01,69.2,66.06,109.25,106.1,107.56,108.75,44867.1015625,78.56,120.2,135.8,42.66
2020-10-01,92.06,93.6,108.9,53.78,109.1,111.5,22372.490234375,97.7,83.75,89.1,31.62
2020-11-01,93.56,90.9,110.44,101.56,106.3,126.6,4126.990234375,98.7,95.9,100.44,39.25
2020-12-01,86.25,59.3,107.6,107.44,82.8,115.7,12105.419921875,79.8,118.94,88.75,48.53
2021-01-01,103.7,95.0,108.06,103.44,99.8,121.3,3950.10009765625,104.25,113.44,55.12,51.66
2021-02-01,101.0,99.75,110.06,88.3,101.2,124.75,10454.400390625,101.94,95.0,89.25,54.3
2021-03-01,106.2,94.0,106.75,89.6,105.0,125.75,11436.0,100.9,125.94,106.6,51.16
2021-04-01,98.8,94.06,97.6,103.7,81.06,115.0,253519.046875,109.7,122.44,119.44,51.62
2021-05-01,88.25,84.1,98.06,117.8,82.8,127.75,12775.490234375,96.44,129.5,70.06,55.3
2021-06-01,98.94,88.8,99.8,109.5,90.94,114.2,24733.0703125,103.44,136.8,115.1,63.75
2021-07-01,125.2,109.44,99.75,111.94,96.6,121.3,17159.26953125,134.6,105.75,118.9,69.9
2021-08-01,104.6,93.5,101.44,111.9,88.0,144.5,9233.400390625,108.2,119.2,120.1,80.4
2021-09-01,103.06,86.44,100.5,113.56,104.7,135.1,26729.609375,96.75,147.1,132.2,80.75
2021-10-01,116.75,107.25,108.06,61.34,107.06,135.1,674.0,119.94,127.2,92.9,80.8
2021-11-01,105.44,95.3,107.6,112.4,108.06,148.6,5139.47998046875,110.6,126.5,107.8,86.3
2021-12-01,99.3,63.84,105.6,108.1,91.25,133.6,48933.5,85.7,144.4,134.2,93.94
2022-01-01,115.8,101.9,109.0,111.4,93.3,141.9,6014.39013671875,107.3,128.9,116.75,98.3
2022-02-01,99.1,97.4,107.44,94.0,103.44,147.5,29869.5,98.9,110.7,127.4,96.3
2022-03-01,109.9,94.3,110.0,86.9,119.9,141.6,2564.85009765625,104.4,142.8,134.9,107.2
2022-04-01,101.25,100.56,110.6,106.56,105.5,134.2,17029.470703125,109.0,132.0,131.0,123.4
