Full_Date,Switzerland Production Index Machinery eq. LAG12,Europe Shipments Index M&E LAG12,France Production Index M&E LAG9,US Production Index M&E LAG9,Sales € LAG3,Germany Production Index Electrical eq. LAG5,Sales €,Europe Production Index M&E LAG12,US Shipments Index M&E LAG9,Italy Shipments Index M&E LAG12,Global Production Index Electrical eq. LAG12,Japan Production Index Electrical eq. LAG1
2019-01-01,109.3,134.9,111.94,109.06,397760.6875,111.2,484173.875,117.2,131.0,131.6,114.94,111.94
2019-02-01,105.4,108.94,92.25,111.6,371322.40625,111.3,620031.8125,105.25,120.44,86.44,110.44,112.5
2019-03-01,101.44,112.75,88.5,110.0,430100.96875,110.9,491643.59375,108.0,126.25,100.5,110.56,95.94
2019-04-01,97.5,132.2,109.75,112.7,484173.875,118.3,426221.34375,124.06,133.8,120.25,128.1,107.3
2019-05-01,98.6,116.94,100.8,106.56,620031.8125,117.2,375671.5625,110.6,117.75,102.9,117.7,131.5
2019-06-01,99.8,122.1,68.25,110.8,491643.59375,89.6,190721.15625,114.3,128.2,120.6,119.0,101.3
2019-07-01,100.94,136.5,97.6,111.0,426221.34375,105.4,381274.96875,124.1,126.0,127.0,126.3,101.9
2019-08-01,101.56,120.44,108.25,111.9,375671.5625,103.6,301973.4375,114.06,127.8,121.4,121.94,112.25
2019-09-01,102.2,112.3,99.6,110.9,190721.15625,111.4,443349.3125,100.7,117.7,74.44,117.5,114.8
2019-10-01,102.8,127.7,94.7,106.25,381274.96875,102.5,93226.3203125,117.0,123.25,115.3,126.4,91.7
2019-11-01,106.8,131.0,90.1,107.5,301973.4375,107.5,298011.6875,124.4,111.06,122.44,129.4,114.94
2019-12-01,110.8,132.9,92.56,109.8,443349.3125,95.8,275968.15625,123.06,116.75,120.1,128.2,101.4
2020-01-01,114.75,131.2,107.9,111.7,93226.3203125,107.7,218623.484375,113.9,133.2,131.9,117.06,100.9
2020-02-01,109.2,113.06,98.7,109.25,298011.6875,98.7,225262.140625,106.44,125.2,92.44,111.5,107.9
2020-03-01,103.6,117.7,94.75,110.06,275968.15625,107.56,197670.484375,110.44,129.9,103.2,112.7,95.06
2020-04-01,98.06,135.9,99.0,111.7,218623.484375,109.1,387939.96875,123.7,133.8,122.44,131.5,98.9
2020-05-01,98.0,121.94,100.4,103.44,225262.140625,106.3,315488.96875,111.94,119.56,106.25,119.44,127.9
2020-06-01,97.94,127.7,65.5,107.75,197670.484375,82.8,329430.96875,117.9,128.0,123.25,122.8,89.5
2020-07-01,97.9,126.6,100.9,105.3,387939.96875,99.8,294293.78125,114.3,127.2,121.3,125.2,78.56
2020-08-01,98.1,124.0,101.44,105.3,315488.96875,101.2,172952.234375,116.3,126.2,123.56,125.6,97.7
2020-09-01,98.4,107.7,94.56,104.4,329430.96875,105.0,645058.0,95.8,114.9,71.75,116.7,98.7
2020-10-01,98.6,131.5,93.2,102.0,294293.78125,81.06,332603.84375,119.9,124.4,115.6,131.0,79.8
2020-11-01,99.0,129.6,86.0,104.2,172952.234375,82.8,413558.125,121.9,110.25,123.4,129.2,104.25
2020-12-01,99.44,128.6,90.1,108.2,645058.0,90.94,303249.59375,117.9,116.9,118.3,127.94,101.94
2021-01-01,99.8,133.4,77.9,107.0,332603.84375,96.6,165265.96875,112.25,131.2,135.8,119.1,100.9
2021-02-01,94.44,107.94,50.75,90.56,413558.125,88.0,807758.8125,102.1,108.75,89.1,105.1,109.7
2021-03-01,89.0,113.6,66.06,93.75,303249.59375,104.7,451955.40625,107.5,111.5,100.44,106.8,96.44
2021-04-01,83.56,120.2,93.6,99.3,165265.96875,107.06,295958.90625,108.44,126.6,88.75,125.8,103.44
2021-05-01,81.7,83.75,90.9,96.2,807758.8125,108.06,573707.25,77.56,115.7,55.12,103.5,134.6
2021-06-01,79.8,95.9,59.3,101.4,451955.40625,91.25,829442.3125,88.94,121.3,89.25,105.8,108.2
2021-07-01,77.94,118.94,95.0,100.56,295958.90625,93.3,434669.625,106.5,124.75,106.6,120.6,96.75
2021-08-01,80.5,113.44,99.75,105.4,573707.25,103.44,255407.75,104.3,125.75,119.44,122.25,119.94
2021-09-01,83.0,95.0,94.0,102.8,829442.3125,119.9,323380.875,86.0,115.0,70.06,114.56,110.6
2021-10-01,85.56,125.94,94.06,100.7,434669.625,105.5,344985.71875,113.5,127.75,115.1,134.0,85.7
2021-11-01,86.3,122.44,84.1,107.06,255407.75,100.7,290506.875,113.7,114.2,118.9,134.6,107.3
2021-12-01,87.06,129.5,88.8,107.7,323380.875,112.5,199188.75,115.6,121.3,120.1,135.4,98.9
2022-01-01,87.8,136.8,109.44,112.2,344985.71875,107.75,283630.8125,113.3,144.5,132.2,126.44,104.4
2022-02-01,86.75,105.75,93.5,112.56,290506.875,103.44,245306.125,96.6,135.1,92.9,116.3,109.0
2022-03-01,85.7,119.2,86.44,112.2,199188.75,111.7,406399.84375,107.94,135.1,107.8,120.06,95.4
2022-04-01,84.6,147.1,107.25,112.8,283630.8125,106.25,302057.03125,129.6,148.6,134.2,145.6,103.94
