Full_Date,UK Production Index M&E LAG12,Europe Shipments Index M&E LAG12,Germany Production Index M&E LAG12,Global Production Index Electrical eq. LAG10,Japan Production Index Electrical eq. LAG12,Italy Production Index Electrical eq. LAG10,France Production Index M&E LAG12,Sales €,Europe Production Index M&E LAG12,France Production Index Electrical eq. LAG9,Price of Base Metals LAG11,Japan Production Index M&E LAG9,Sales € LAG6,Global Production Index Machinery eq. LAG12,Sales € LAG3,France Shipments Index M&E LAG12,Germany Shipments Index M&E LAG12
2019-04-01,119.94,132.2,125.94,119.0,141.5,89.8,111.94,5714462.5,124.06,95.1,96.06,126.94,2499061.25,137.2,8233205.0,121.7,141.8
2019-05-01,106.06,116.94,113.44,126.3,108.3,89.44,92.25,11389673.0,110.6,86.4,96.44,123.2,8993944.0,123.2,6879251.0,106.6,126.4
2019-06-01,107.2,122.1,112.1,121.94,107.06,90.8,88.5,13681879.0,114.3,64.3,96.8,115.2,6947507.5,124.4,11914314.0,102.25,126.25
2019-07-01,111.1,136.5,126.94,117.5,118.75,46.9,109.75,11145039.0,124.1,85.06,88.0,127.8,8233205.0,133.5,5714462.5,127.1,148.0
2019-08-01,106.06,120.44,116.75,126.4,116.5,85.2,100.8,7645745.5,114.06,97.9,85.56,125.2,6879251.0,124.8,11389673.0,104.75,129.9
2019-09-01,103.7,112.3,114.7,129.4,103.0,93.0,68.25,15018605.0,100.7,91.1,84.56,122.6,11914314.0,118.9,13681879.0,92.8,130.0
2019-10-01,108.3,127.7,118.56,128.2,114.5,84.1,97.6,11542647.0,117.0,78.06,86.1,123.0,5714462.5,128.5,11145039.0,110.5,136.6
2019-11-01,113.7,131.0,124.25,117.06,112.4,64.9,108.25,8104241.5,124.4,81.94,83.8,105.5,11389673.0,131.4,7645745.5,122.44,137.8
2019-12-01,115.06,132.9,127.4,111.5,111.94,81.56,99.6,13494693.0,123.06,80.3,82.75,114.44,13681879.0,130.0,15018605.0,115.94,142.8
2020-01-01,101.56,131.2,120.5,112.7,112.5,83.44,94.7,7184359.5,113.9,92.5,81.25,141.6,11145039.0,124.2,11542647.0,115.1,141.4
2020-02-01,101.8,113.06,104.75,131.5,95.94,88.8,90.1,12424407.0,106.44,85.5,84.7,107.1,7645745.5,112.2,8104241.5,108.3,118.7
2020-03-01,103.5,117.7,109.6,119.44,107.3,75.94,92.56,9232238.0,110.44,84.0,86.2,108.94,15018605.0,116.6,13494693.0,108.94,122.7
2020-04-01,120.75,135.9,122.56,122.8,131.5,91.6,107.9,7990825.5,123.7,87.44,85.6,117.75,11542647.0,137.5,7184359.5,126.94,140.1
2020-05-01,106.7,121.94,110.6,125.2,101.3,83.5,98.7,9872427.0,111.94,89.75,81.0,118.9,8104241.5,121.5,12424407.0,114.94,127.5
2020-06-01,109.75,127.7,115.7,125.6,101.9,92.94,94.75,15873895.0,117.9,63.16,79.44,100.94,13494693.0,124.6,9232238.0,110.8,132.0
2020-07-01,111.56,126.6,108.94,116.7,112.25,43.97,99.0,5590709.5,114.3,88.25,80.7,128.2,7184359.5,127.0,7990825.5,122.06,126.75
2020-08-01,110.6,124.0,117.1,131.0,114.8,87.7,100.4,11463706.0,116.3,94.75,78.9,107.7,12424407.0,123.4,9872427.0,107.25,132.6
2020-09-01,100.1,107.7,104.4,129.2,91.7,91.6,65.5,14160091.0,95.8,82.44,80.44,104.25,9232238.0,112.4,15873895.0,89.2,121.1
2020-10-01,112.2,131.5,117.94,127.94,114.94,81.5,100.9,4647204.5,119.9,76.1,80.1,119.75,7990825.5,128.8,5590709.5,115.2,138.4
2020-11-01,113.3,129.6,114.75,119.1,101.4,63.97,101.44,10164874.0,121.9,78.6,80.4,103.5,9872427.0,125.0,11463706.0,120.94,128.9
2020-12-01,109.4,128.6,116.9,105.1,100.9,78.5,94.56,8845742.0,117.9,79.44,80.7,104.6,15873895.0,122.6,14160091.0,110.25,135.2
2021-01-01,101.9,133.4,113.8,106.8,107.9,79.94,93.2,1405295.375,112.25,68.94,80.5,131.1,5590709.5,123.06,4647204.5,119.06,135.9
2021-02-01,97.7,107.94,97.8,125.8,95.06,58.12,86.0,16650953.0,102.1,44.84,76.0,95.1,11463706.0,104.5,10164874.0,103.6,110.7
2021-03-01,98.2,113.6,103.0,103.5,98.9,38.97,90.1,11102205.0,107.5,59.62,70.5,82.0,14160091.0,108.7,8845742.0,105.75,117.4
2021-04-01,106.4,120.2,112.9,105.8,127.9,67.44,77.9,7085482.5,108.44,84.56,67.3,102.56,4647204.5,125.3,1405295.375,95.3,132.0
2021-05-01,61.06,83.75,81.06,120.6,89.5,75.25,50.75,8767596.0,77.56,81.6,68.9,98.94,10164874.0,98.7,16650953.0,64.44,93.3
2021-06-01,69.2,95.9,85.4,122.25,78.56,85.06,66.06,11687229.0,88.94,58.22,74.3,83.1,8845742.0,101.8,11102205.0,77.94,98.6
