Full_Date,France Production Index M&E LAG3,Global Production Index Machinery eq. LAG6,Price of Natural gas index LAG9,Price of Base Metals LAG1,Sales € LAG4,Japan Production Index M&E LAG4,United States: EUR in LCU LAG12,China Producer Prices Electrical eq. LAG3,Sales €,France Production Index Electrical eq. LAG3,Japan Production Index Electrical eq. LAG4
2019-02-01,108.25,124.8,73.5,82.75,369231.59375,127.8,1.22,96.3,542037.5,97.9,114.5
2019-03-01,99.6,118.9,76.5,81.25,473046.96875,125.2,1.234,95.4,735604.25,91.1,112.4
2019-04-01,94.7,128.5,78.3,84.7,999472.6875,122.6,1.233,95.0,277575.125,78.06,111.94
2019-05-01,90.1,131.4,77.5,86.2,598874.125,123.0,1.228,94.94,315978.78125,81.94,112.5
2019-06-01,92.56,130.0,81.7,85.6,542037.5,105.5,1.182,94.7,282963.1875,80.3,95.94
2019-07-01,107.9,124.2,89.2,81.0,735604.25,114.44,1.168,94.44,725412.0,92.5,107.3
2019-08-01,98.7,112.2,89.56,79.44,277575.125,141.6,1.169,93.9,206931.171875,85.5,131.5
2019-09-01,94.75,116.6,97.4,80.7,315978.78125,107.1,1.155,94.5,499147.71875,84.0,101.3
2019-10-01,99.0,137.5,94.44,78.9,282963.1875,108.94,1.166,94.9,581767.875,87.44,101.9
2019-11-01,100.4,121.5,80.06,80.44,725412.0,117.75,1.148,95.1,181159.203125,89.75,112.25
2019-12-01,65.5,124.6,69.56,80.1,206931.171875,118.9,1.137,94.6,913378.8125,63.16,114.8
2020-01-01,100.9,127.0,67.94,80.4,499147.71875,100.94,1.139,94.6,-15202.9599609375,88.25,91.7
2020-02-01,101.44,123.4,62.5,80.7,581767.875,128.2,1.142,94.2,724398.75,94.75,114.94
2020-03-01,94.56,112.4,59.44,80.5,181159.203125,107.7,1.135,93.0,529808.9375,82.44,101.4
2020-04-01,93.2,128.8,52.97,76.0,913378.8125,104.25,1.13,92.7,782043.0,76.1,100.9
2020-05-01,86.0,125.0,52.72,70.5,-15202.9599609375,119.75,1.124,92.7,750367.6875,78.6,107.9
2020-06-01,90.1,122.6,51.84,67.3,724398.75,103.5,1.118,92.56,526425.1875,79.44,95.06
2020-07-01,77.9,123.06,58.2,68.9,529808.9375,104.6,1.129,91.9,730187.6875,68.94,98.9
2020-08-01,50.75,104.5,59.12,74.3,782043.0,131.1,1.122,90.3,847092.875,44.84,127.9
2020-09-01,66.06,108.7,63.47,80.2,750367.6875,95.1,1.112,91.06,316929.21875,59.62,89.5
2020-10-01,93.6,125.3,56.0,83.56,526425.1875,82.0,1.101,91.75,313535.90625,84.56,78.56
2020-11-01,90.9,98.7,48.62,85.2,730187.6875,102.56,1.105,92.25,335130.75,81.6,97.7
2020-12-01,59.3,101.8,43.78,86.25,847092.875,98.94,1.105,92.4,332556.96875,58.22,98.7
2021-01-01,95.0,118.5,41.62,91.44,316929.21875,83.1,1.111,92.25,27472.939453125,86.4,79.8
2021-02-01,99.75,114.0,37.97,98.06,313535.90625,105.94,1.11,92.06,515644.625,89.94,104.25
2021-03-01,94.0,104.3,35.6,99.7,335130.75,105.3,1.091,91.1,625100.125,83.9,101.94
2021-04-01,94.06,121.56,34.0,105.0,332556.96875,107.9,1.106,91.6,592478.9375,75.75,100.9
2021-05-01,84.1,122.06,34.9,109.06,27472.939453125,116.5,1.086,92.0,566508.3125,76.2,109.7
2021-06-01,88.8,123.75,45.84,113.5,515644.625,102.5,1.09,92.25,490262.9375,80.75,96.44
2021-07-01,109.44,123.6,46.06,121.94,625100.125,112.06,1.126,92.8,499338.625,94.5,103.44
2021-08-01,93.5,109.44,54.72,119.0,592478.9375,143.4,1.146,92.94,529725.4375,83.06,134.6
2021-09-01,86.44,116.4,59.06,119.3,566508.3125,116.2,1.183,95.2,947905.375,75.8,108.2
2021-10-01,107.25,143.0,63.84,120.9,490262.9375,102.8,1.18,96.7,196463.8125,94.06,96.75
2021-11-01,95.3,129.6,73.0,124.1,499338.625,128.9,1.178,97.7,386462.96875,82.0,119.94
2021-12-01,63.84,125.1,97.5,130.0,529725.4375,119.56,1.184,97.8,190074.953125,61.38,110.6
2022-01-01,101.9,139.2,65.6,125.2,947905.375,103.2,1.217,98.1,157670.3125,89.56,85.7
2022-02-01,97.4,129.4,71.25,125.2,196463.8125,123.25,1.217,98.7,391088.3125,88.75,107.3
2022-03-01,94.3,119.9,83.44,133.2,386462.96875,114.0,1.21,98.1,316132.21875,88.3,98.9
2022-04-01,100.56,135.6,94.75,138.9,190074.953125,121.8,1.189,98.1,333705.625,80.75,104.4
