Full_Date,Switzerland Production Index Machinery eq. LAG12,Europe Shipments Index M&E LAG12,Germany Production Index Electrical eq. LAG10,Italy Shipments Index M&E LAG8,Switzerland Production Index M&E LAG12,China Production Index M&E LAG8,Price of Energy LAG12,Price of Base Metals LAG1,Japan Production Index M&E LAG12,Global Production Index Electrical eq. LAG4,Europe Production Index M&E LAG12,COVID_Impact,France Producer Prices Electrical eq. LAG5,Germany Production Index M&E LAG6,Global Production Index Machinery eq. LAG12,France Production Index Electrical eq. LAG12,Japan Production Index Electrical eq. LAG12,Sales € LAG5,China Producer Prices Electrical eq. LAG12,UK Production Index M&E LAG6,Italy Production Index M&E LAG12,Sales €,Sales € LAG3,US Producer Prices Electrical eq. LAG3,Sales € LAG2
2019-03-01,101.44,112.75,108.7,127.0,103.3,244.1,82.1,81.25,119.8,129.4,108.0,0,102.2,114.7,115.6,82.25,111.8,586052.75,96.6,103.7,103.25,591288.375,271490.71875,111.0,381400.15625
2019-04-01,97.5,132.2,106.75,121.4,98.8,207.9,82.8,84.7,153.9,128.2,124.06,0,102.06,118.56,137.2,94.7,141.5,526292.75,96.2,108.3,116.1,418899.90625,381400.15625,111.2,368475.5625
2019-05-01,98.6,116.94,116.75,74.44,98.44,197.5,88.4,86.2,115.56,117.06,110.6,0,102.06,124.25,123.2,83.94,108.3,271490.71875,95.56,113.7,101.25,298806.84375,368475.5625,111.4,591288.375
2019-06-01,99.8,122.1,111.2,115.3,98.06,199.4,94.6,85.6,115.4,111.5,114.3,0,102.2,127.4,124.4,81.8,107.06,381400.15625,96.6,115.06,118.25,420707.71875,591288.375,111.56,418899.90625
2019-07-01,100.94,136.5,111.3,122.44,97.7,212.0,93.7,81.0,126.94,112.7,124.1,0,102.75,120.5,133.5,95.1,118.75,368475.5625,97.0,101.56,115.25,366980.25,418899.90625,111.94,298806.84375
2019-08-01,101.56,120.44,110.9,120.1,100.44,220.5,93.0,79.44,123.2,131.5,114.06,0,102.7,104.75,124.8,86.4,116.5,591288.375,97.06,101.8,116.5,397537.1875,298806.84375,111.4,420707.71875
2019-09-01,102.2,112.3,118.3,131.9,103.2,241.9,92.0,80.7,115.2,119.44,100.7,0,102.9,109.6,118.9,64.3,103.0,418899.90625,96.75,103.5,60.75,1084685.875,420707.71875,111.6,366980.25
2019-10-01,102.8,127.7,117.2,92.44,105.94,175.6,98.75,78.9,127.8,122.8,117.0,0,103.2,122.56,128.5,85.06,114.5,298806.84375,96.56,120.75,105.44,111791.34375,366980.25,110.56,397537.1875
2019-11-01,106.8,131.0,89.6,103.2,109.06,175.6,100.25,80.44,125.2,125.2,124.4,0,102.75,110.6,131.4,97.9,112.4,420707.71875,96.3,106.7,118.4,542923.4375,397537.1875,110.8,1084685.875
2019-12-01,110.8,132.9,105.4,122.44,112.25,261.8,84.44,80.1,122.6,125.6,123.06,0,102.5,115.7,130.0,91.1,111.94,366980.25,95.4,109.75,107.75,491332.71875,1084685.875,110.6,111791.34375
2020-01-01,114.75,131.2,103.6,106.25,115.4,219.6,74.9,80.4,123.0,116.7,113.9,0,102.5,108.94,124.2,78.06,112.5,397537.1875,95.0,111.56,88.8,323769.1875,111791.34375,111.06,542923.4375
2020-02-01,109.2,113.06,111.4,123.25,109.6,234.1,76.2,80.7,105.5,131.0,106.44,0,102.56,117.1,112.2,81.94,95.94,1084685.875,94.94,110.6,99.25,326973.9375,542923.4375,111.06,491332.71875
2020-03-01,103.6,117.7,102.5,121.3,103.8,261.2,80.06,80.5,114.44,129.2,110.44,0,102.75,104.4,116.6,80.3,107.3,111791.34375,94.7,100.1,104.56,845857.75,491332.71875,111.06,323769.1875
2020-04-01,98.06,135.9,107.5,123.56,98.06,217.0,82.25,76.0,141.6,127.94,123.7,1,102.7,117.94,137.5,92.5,131.5,542923.4375,94.44,112.2,114.3,302765.6875,323769.1875,111.3,326973.9375
2020-05-01,98.0,121.94,95.8,71.75,97.06,207.9,86.44,70.5,107.1,119.1,111.94,1,102.7,114.75,121.5,85.5,101.3,491332.71875,93.9,113.3,99.75,712746.375,326973.9375,111.5,845857.75
2020-06-01,97.94,127.7,107.7,115.6,96.1,215.9,85.2,67.3,108.94,105.1,117.9,1,102.7,116.9,124.6,84.0,101.9,323769.1875,94.5,109.4,118.0,599831.9375,845857.75,111.56,302765.6875
2020-07-01,97.9,126.6,98.7,123.4,95.2,226.6,76.3,68.9,117.75,106.8,114.3,1,102.75,113.8,127.0,87.44,112.25,326973.9375,94.9,101.9,108.25,583157.625,302765.6875,111.44,712746.375
2020-08-01,98.1,124.0,107.56,118.3,97.94,241.0,77.06,74.3,118.9,125.8,116.3,1,103.0,97.8,123.4,89.75,114.8,845857.75,95.1,97.7,114.7,916909.75,712746.375,111.44,599831.9375
2020-09-01,98.4,107.7,109.1,135.8,100.7,263.0,71.56,80.2,100.94,103.5,95.8,1,102.75,103.0,112.4,63.16,91.7,302765.6875,94.6,98.2,56.25,1337657.625,599831.9375,111.44,583157.625
2020-10-01,98.6,131.5,106.3,89.1,103.44,130.5,75.56,83.56,128.2,105.8,119.9,1,102.06,112.9,128.8,88.25,114.94,712746.375,94.6,106.4,107.75,153873.515625,583157.625,111.4,916909.75
2020-11-01,99.0,129.6,82.8,100.44,104.2,130.5,72.7,85.2,107.7,120.6,121.9,1,102.2,81.06,125.0,94.75,101.4,599831.9375,94.2,61.06,114.4,904436.875,916909.75,111.8,1337657.625
