Full_Date,Global Production Index Electrical eq. LAG5,China Producer Prices Electrical eq. LAG11,UK Production Index M&E LAG10,Sales € LAG1,France Production Index M&E LAG6,Price of Base Metals LAG11,Sales €,Japan Production Index M&E LAG9,US Shipments Index M&E LAG9,Germany Production Index M&E LAG6,Price of Energy LAG10,UK Production Index Electrical eq. LAG10
2018-11-01,119.0,96.6,102.0,3219.320068359375,92.25,92.6,1875.9000244140625,112.44,105.94,113.44,80.8,101.7
2018-12-01,126.3,96.44,104.06,1875.9000244140625,88.5,92.1,0.0,119.8,112.6,112.1,87.44,100.0
2019-01-01,121.94,96.7,101.06,0.0,109.75,97.0,1487.0,153.9,131.0,126.94,82.1,99.6
2019-02-01,117.5,96.6,119.94,1487.0,100.8,96.9,3234.280029296875,115.56,120.44,116.75,82.8,109.2
2019-03-01,126.4,96.2,106.06,3234.280029296875,68.25,92.9,13050.6103515625,115.4,126.25,114.7,88.4,99.4
2019-04-01,129.4,95.56,107.2,13050.6103515625,97.6,96.06,9119.650390625,126.94,133.8,118.56,94.6,102.5
2019-05-01,128.2,96.6,111.1,9119.650390625,108.25,96.44,4614.080078125,123.2,117.75,124.25,93.7,105.1
2019-06-01,117.06,97.0,106.06,4614.080078125,99.6,96.8,4488.08984375,115.2,128.2,127.4,93.0,103.44
2019-07-01,111.5,97.06,103.7,4488.08984375,94.7,88.0,1766.4000244140625,127.8,126.0,120.5,92.0,105.75
2019-08-01,112.7,96.75,108.3,1766.4000244140625,90.1,85.56,6371.5,125.2,127.8,104.75,98.75,110.3
2019-09-01,131.5,96.56,113.7,6371.5,92.56,84.56,13930.259765625,122.6,117.7,109.6,100.25,118.7
2019-10-01,119.44,96.3,115.06,13930.259765625,107.9,86.1,555.0,123.0,123.25,122.56,84.44,120.44
2019-11-01,122.8,95.4,101.56,555.0,98.7,83.8,24181.80078125,105.5,111.06,110.6,74.9,105.4
2019-12-01,125.2,95.0,101.8,24181.80078125,94.75,82.75,7611.35986328125,114.44,116.75,115.7,76.2,107.2
2020-01-01,125.6,94.94,103.5,7611.35986328125,99.0,81.25,7647.5,141.6,133.2,108.94,80.06,110.6
2020-02-01,116.7,94.7,120.75,7647.5,100.4,84.7,425.1000061035156,107.1,125.2,117.1,82.25,126.2
2020-03-01,131.0,94.44,106.7,425.1000061035156,65.5,86.2,2233.0,108.94,129.9,104.4,86.44,113.5
2020-04-01,129.2,93.9,109.75,2233.0,100.9,85.6,1476.8499755859375,117.75,133.8,117.94,85.2,117.56
2020-05-01,127.94,94.5,111.56,1476.8499755859375,101.44,81.0,3764.1201171875,118.9,119.56,114.75,76.3,123.1
2020-06-01,119.1,94.9,110.6,3764.1201171875,94.56,79.44,7555.4501953125,100.94,128.0,116.9,77.06,123.94
2020-07-01,105.1,95.1,100.1,7555.4501953125,93.2,80.7,943.3900146484375,128.2,127.2,113.8,71.56,115.2
2020-08-01,106.8,94.6,112.2,943.3900146484375,86.0,78.9,9907.2001953125,107.7,126.2,97.8,75.56,128.5
2020-09-01,125.8,94.6,113.3,9907.2001953125,90.1,80.44,2893.35009765625,104.25,114.9,103.0,72.7,128.2
2020-10-01,103.5,94.2,109.4,2893.35009765625,77.9,80.1,39510.75,119.75,124.4,112.9,76.6,125.6
2020-11-01,105.8,93.0,101.9,39510.75,50.75,80.4,-4358.10009765625,103.5,110.25,81.06,79.06,117.25
2020-12-01,120.6,92.7,97.7,-4358.10009765625,66.06,80.7,8606.5,104.6,116.9,85.4,76.06,116.4
2021-01-01,122.25,92.7,98.2,8606.5,93.6,80.5,625.5,131.1,131.2,103.7,66.3,114.1
2021-02-01,114.56,92.56,106.4,625.5,90.9,76.0,10022.400390625,95.1,108.75,100.56,42.66,127.6
2021-03-01,134.0,91.9,61.06,10022.400390625,59.3,70.5,28108.880859375,82.0,111.5,87.6,31.62,77.94
2021-04-01,134.6,90.3,69.2,28108.880859375,95.0,67.3,16713.9609375,102.56,126.6,109.0,39.25,85.5
2021-05-01,135.4,91.06,92.06,16713.9609375,99.75,68.9,8026.0,98.94,115.7,106.75,48.53,108.9
2021-06-01,126.44,91.75,93.56,8026.0,94.0,74.3,7240.83984375,83.1,121.3,112.25,51.66,112.94
2021-07-01,116.3,92.25,86.25,7240.83984375,94.06,80.2,11295.75,105.94,124.75,112.75,54.3,112.3
2021-08-01,120.06,92.4,103.7,11295.75,84.1,83.56,432.0,105.3,125.75,90.6,51.16,130.5
2021-09-01,145.6,92.25,101.0,432.0,88.8,85.2,9259.2001953125,107.9,115.0,102.5,51.62,123.94
2021-10-01,133.6,92.06,106.2,9259.2001953125,109.44,86.25,937.0399780273438,116.5,127.75,123.56,55.3,129.8
2021-11-01,128.5,91.1,98.8,937.0399780273438,93.5,91.44,14035.580078125,102.5,114.2,108.0,63.75,110.9
2021-12-01,141.0,91.6,88.25,14035.580078125,86.44,98.06,14935.2001953125,112.06,121.3,102.9,69.9,106.8
2022-01-01,134.2,92.0,98.94,14935.2001953125,107.25,99.7,2064.699951171875,143.4,144.5,115.56,80.4,121.9
2022-02-01,125.75,92.25,125.2,2064.699951171875,95.3,105.0,901.5,116.2,135.1,110.7,80.75,140.8
2022-03-01,141.8,92.8,104.6,901.5,63.84,109.06,4452.60009765625,102.8,135.1,100.9,80.8,119.25
2022-04-01,137.0,92.94,103.06,4452.60009765625,101.9,113.5,3285.0,128.9,148.6,115.06,86.3,117.25
